date,repo,issues_opened_external,issues_closed_via_pr_external,issues_closed_other_external,prs_opened_core,pr_reviews_external
2026-06-05,features,0,0,0,1,0
2026-06-05,agents,0,0,0,0,0
2026-06-05,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-05,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-06,fullsend,1,0,1,3,0
2026-06-06,.fullsend,0,0,0,0,0
2026-06-06,experiments,0,0,0,0,0
2026-06-06,metrics,0,0,0,0,0
2026-06-06,features,0,0,0,0,0
2026-06-06,agents,0,0,0,0,0
2026-06-06,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-06,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-07,fullsend,0,1,0,6,0
2026-06-07,.fullsend,0,0,0,0,0
2026-06-07,experiments,0,0,0,0,0
2026-06-07,metrics,0,0,0,0,0
2026-06-07,features,0,0,0,0,0
2026-06-07,agents,0,0,0,0,0
2026-06-07,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-07,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-08,fullsend,3,0,0,5,0
2026-06-08,.fullsend,0,0,0,1,0
2026-06-08,experiments,0,0,0,0,0
2026-06-08,metrics,0,0,0,0,0
2026-06-08,features,0,0,0,1,0
2026-06-08,agents,0,0,0,0,0
2026-06-08,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-08,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-09,fullsend,3,1,2,11,0
2026-06-09,.fullsend,0,0,0,0,0
2026-06-09,experiments,0,0,0,1,0
2026-06-09,metrics,0,0,0,0,0
2026-06-09,features,0,0,0,0,0
2026-06-09,agents,0,0,0,0,0
2026-06-09,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-09,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-10,fullsend,0,0,0,11,1
2026-06-10,.fullsend,0,0,0,1,0
2026-06-10,experiments,0,0,0,0,0
2026-06-10,metrics,0,0,0,0,0
2026-06-10,features,0,0,0,0,0
2026-06-10,agents,0,0,0,0,0
2026-06-10,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-10,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-11,fullsend,0,0,0,15,0
2026-06-11,.fullsend,0,0,0,0,0
2026-06-11,experiments,0,0,0,0,0
2026-06-11,metrics,0,0,0,0,0
2026-06-11,features,0,0,0,1,0
2026-06-11,agents,0,0,0,0,0
2026-06-11,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-06-11,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-06-12,fullsend,5,3,0,19,0
2026-06-12,.fullsend,0,0,0,2,0
2026-06-12,experiments,0,0,0,0,0
2026-06-12,metrics,0,0,0,0,0
2026-06-12,features,0,0,0,0,0
